"index" "college" "visits" "amount"
"618" "Bradenton " 0 0
"619" "Lake Erie College of Osteopathic Medicine branch campus" 0 0
"620" "Brandon" 4 147.27
"621" "Cape Coral " 0 0
"622" "Florida Gulf Coast University satellite facility" 0 0
"623" "Coral Gables " 0 0
"624" "University of Miami" 0 0
"625" "Coral Springs " 0 0
"626" "Barry University" 0 0
"627" "Nova Southeastern University and Broward College" 0 0
"628" "Davie " 0 0
"629" "Nova Southeastern University" 0 0
"630" "Daytona Beach " 0 0
"631" "Embry–Riddle Aeronautical University" 0 0
"632" "DeLand " 0 0
"633" "Stetson University" 0 0
"634" "Estero " 0 0
"635" "Florida Gulf Coast University" 0 0
"636" "Fort Lauderdale " 0 0
"637" "Broward College BC " 0 0
"638" "Willis Holcombe Downtown Center" 0 0
"639" "City College" 0 0
"640" "Florida Atlantic University FAU " 0 0
"641" "satellite campus" 0 0
"642" "Florida International University FIU " 0 0
"643" "satellite campus" 0 0
"644" "Keiser University" 0 0
"645" "Nova Southeastern University NSU " 0 0
"646" "satellite campus" 0 0
"647" "The Art Institute of Fort Lauderdale" 0 0
"648" "University of Phoenix" 0 0
"649" "Cypress Creek Learning Center" 0 0
"650" "Jersey College" 0 0
"651" "Fort Myers " 0 0
"652" "Florida Gulf Coast University" 0 0
"653" "Gainesville " 0 0
"654" "University of Florida" 0 0
"655" "Santa Fe College" 0 0
"656" "Gulfport " 0 0
"657" "Stetson University College of Law" 0 0
"658" "St. Petersburg College" 0 0
"659" "University of South Florida branch campus" 0 0
"660" "Hialeah " 0 0
"661" "College of Business and Technology" 0 0
"662" "Florida National University" 0 0
"663" "Hollywood" 1 428
"664" "Jacksonville " 0 0
"665" "University of North Florida" 0 0
"666" "Jacksonville University" 0 0
"667" "Florida State College at Jacksonville" 0 0
"668" "University of Florida second campus" 0 0
"669" "Florida Coastal School of Law and Jones College" 0 0
"670" "Kendall " 0 0
"671" "Keiser College" 0 0
"672" "Miami-Dade College " 0 0
"673" "Kendall Campus" 0 0
"674" "Nova Southeastern University " 0 0
"675" "Miami Student Educational Center" 0 0
"676" "College of Business and Technology " 0 0
"677" "Kendall Campus" 0 0
"678" "Lakeland " 0 0
"679" "Florida Polytechnic University" 0 0
"680" "Miami " 0 0
"681" "Florida International University" 0 0
"682" "Miami Gardens " 0 0
"683" "St. Thomas University" 0 0
"684" "Florida Memorial University" 0 0
"685" "CBT College" 0 0
"686" "Miramar " 0 0
"687" "Broward College " 0 0
"688" "Miramar Town Center" 0 0
"689" "Broward College " 0 0
"690" "Miramar West Center" 0 0
"691" "Florida International University " 0 0
"692" "FIU " 0 0
"693" "Miramar West Center" 0 0
"694" "Nova Southeastern University " 0 0
"695" "Miramar Campus" 0 0
"696" "Panama City " 0 0
"697" "Gulf Coast State College" 0 0
"698" "Pembroke Pines " 0 0
"699" "The Broward-Pines Center regional campus of Barry University" 0 0
"700" "The Broward-Pines Center regional campus of Broward College" 0 0
"701" "The Broward-Pines Center regional campus of Florida International University" 0 0
"702" "The South regional campus of Broward College" 0 0
"703" "Keiser University Pembroke Pines Campus" 0 0
"704" "Pensacola " 0 0
"705" "University of West Florida" 0 0
"706" "Port St. Lucie " 0 0
"707" "Indian River State College" 0 0
"708" "Barry University" 0 0
"709" "and Keiser University" 0 0
"710" "Orlando " 0 0
"711" "University of Central Florida" 0 0
"712" "Sarasota " 0 0
"713" "New College of Florida" 0 0
"714" "Ringling College of Art and Design" 0 0
"715" "State College of Florida" 0 0
"716" "Manatee-Sarasota" 0 0
"717" "University of South Florida Sarasota-Manatee" 0 0
"718" "St. Augustine " 0 0
"719" "Flagler College" 0 0
"720" "St. Leo " 0 0
"721" "St. Leo University" 0 0
"722" "St. Petersburg " 0 0
"723" "University of South Florida St. Petersburg" 0 0
"724" "Eckerd College" 0 0
"725" "St. Petersburg College" 0 0
"726" "Sunrise" 1 131.67
"727" "Tallahassee " 0 0
"728" "Florida State University" 0 0
"729" "Florida A&M University" 0 0
"730" "Tampa " 0 0
"731" "University of South Florida" 0 0
"732" "West Palm Beach " 0 0
"733" "Palm Beach Atlantic University" 0 0
"734" "Keiser University" 0 0
"735" "Georgia[edit]" 0 0
"736" "Albany " 0 0
"737" "Albany State University" 0 0
"738" "Alpharetta " 0 0
"739" "Georgia State University" 0 0
"740" "Gwinnett Technical College" 0 0
"741" "Reinhardt University" 0 0
"742" "Athens " 0 0
"743" "University of Georgia" 0 0
"744" "Athens Technical College" 0 0
"745" "Atlanta " 0 0
"746" "Georgia Tech" 0 0
"747" "Clark Atlanta University" 0 0
"748" "Morehouse College" 0 0
"749" "Spelman College" 0 0
"750" "Art Institute of Atlanta" 0 0
"751" "Mercer University:" 0 0
"752" "Downtown " 0 0
"753" "Georgia State University" 0 0
"754" "Druid Hills " 0 0
"755" "Emory University" 0 0
"756" "Midtown " 0 0
"757" "John Marshall Law School" 0 0
"758" "Augusta " 0 0
"759" "Augusta Technical College" 0 0
"760" "Augusta University" 0 0
"761" "Paine College" 0 0
"762" "East Georgia State College" 0 0
"763" "Blue Ridge " 0 0
"764" "University of North Georgia" 0 0
"765" "Brunswick " 0 0
"766" "College of Coastal Georgia" 0 0
"767" "Carrollton " 0 0
"768" "University of West Georgia" 0 0
"769" "Columbus " 0 0
"770" "Columbus State University" 0 0
"771" "Columbus Technical College" 0 0
"772" "Cumming " 0 0
"773" "University of North Georgia" 0 0
"774" "Dahlonega " 0 0
"775" "University of North Georgia" 0 0
"776" "Demorest " 0 0
"777" "Piedmont College" 0 0
"778" "Fort Valley " 0 0
"779" "Fort Valley State University" 0 0
